blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,prodDist_1,prodDist_2,prodDist_3,prodDist_4,RT,blockNum
space,downright,1920,1080,960,540,left,short,short,0.948,0.4,6,6,59.3744668960571,60.374785900116,60.374785900116,61.3243680000305,61.3243680000305,61.3410329818726,61.7410349845886,62.1312549114227,62.2313380241394,62.3410959243774,62.6410989761353,172.607131644473,19.5287061307288,1099.90002441406,641.099975585938,0.390219926834106,9
space,downright,1920,1080,960,540,left,short,long,0.893,0.4,12,12,63.6411099433899,64.6414878368378,64.6414878368378,65.5410778522491,65.5410778522491,65.5577449798584,65.9577469825745,66.360121011734,66.4602069854736,66.5744240283966,66.8745489120483,430.01927544688,40.2776725400997,1313.40002441406,785,0.402374029159546,9
space,downright,1920,1080,960,540,left,long,inter,0.919,1.6,8,8,67.8745629787445,68.8745679855347,68.8745679855347,69.7911238670349,69.7911238670349,69.8077878952026,71.4078078269958,71.4082129001617,71.5082938671112,71.6244738101959,71.9244828224182,155.279492900801,29.8188126417606,1078.19995117188,640.700012207031,0.000405073165893555,9
space,downright,1920,1080,960,540,left,short,long,0.674,0.4,12,12,72.9249179363251,73.9245018959045,73.9245018959045,74.5911757946014,74.5911757946014,74.6078410148621,75.0078468322754,75.5187788009644,75.6188488006592,75.7245199680328,76.0245218276978,416.586751069924,46.0245904900465,1298.30004882812,783.099975585938,0.510931968688965,9
space,downright,1920,1080,960,540,left,short,short,0.992,0.4,6,6,77.0249719619751,78.0249810218811,78.0249810218811,79.0246028900146,79.0246028900146,79.0413358211517,79.4412178993225,79.8135809898376,79.9136478900909,80.0245590209961,80.3245668411255,230.344185013071,40.1578535123634,1138,686.200012207031,0.372363090515137,9
space,downright,1920,1080,960,540,left,inter,inter,0.7,0.8,8,8,81.3250088691711,82.3250198364258,82.3250198364258,83.0245969295502,83.0245969295502,83.0412638187408,83.8412659168243,84.2345788478851,84.334657907486,84.4412758350372,84.741278886795,312.392474294126,33.2941629095394,1214.40002441406,721.299987792969,0.393312931060791,9
space,downright,1920,1080,960,540,left,inter,inter,0.584,0.8,8,8,85.7412929534912,86.7417359352112,86.7417359352112,87.3246378898621,87.3246378898621,87.3413059711456,88.1413159370422,88.5183699131012,88.6184430122375,88.7246568202972,89.0246558189392,354.331138561653,23.3637063199319,1256.69995117188,733.700012207031,0.37705397605896,9
space,downright,1920,1080,960,540,left,inter,inter,0.75,0.8,8,8,90.0251009464264,91.0250878334045,91.0250878334045,91.7746829986572,91.7746829986572,91.7913548946381,92.5913608074188,92.8483018875122,92.948371887207,93.0580348968506,93.3580369949341,268.18593119589,23.1893672739699,1181.5,691.200012207031,0.256941080093384,9
space,downright,1920,1080,960,540,left,long,long,0.819,1.6,12,12,94.3580439090729,95.358491897583,95.358491897583,96.1747329235077,96.1747329235077,96.1914010047913,97.7914140224457,98.1452739238739,98.2453508377075,98.3581387996674,98.6581418514252,434.723103210359,34.8303387322585,1320.59997558594,782.799987792969,0.353859901428223,9
space,downright,1920,1080,960,540,left,long,long,0.64,1.6,12,12,99.6580979824066,100.658547878265,100.658547878265,101.291448831558,101.291448831558,101.30811882019,102.908186912537,103.138809919357,103.238888978958,103.341524839401,103.641527891159,460.921309503791,52.7957120998567,1333.19995117188,810.5,0.230623006820679,9
space,downright,1920,1080,960,540,left,inter,short,0.955,0.8,6,6,104.641537904739,105.641913890839,105.641913890839,106.591503858566,106.591503858566,106.608174800873,107.408185958862,107.797616004944,107.897702932358,108.008188009262,108.308190822601,272.693758550042,38.3656550354514,1176.5,705.799987792969,0.389430046081543,9
space,downright,1920,1080,960,540,left,inter,inter,0.655,0.8,8,8,109.308633804321,110.308651924133,110.308651924133,110.958217859268,110.958217859268,110.974888801575,111.774894952774,112.044569969177,112.144647836685,112.258231878281,112.558238983154,291.362746417589,20.0734740893998,1203.5,700,0.269675016403198,9
space,downright,1920,1080,960,540,left,inter,short,0.869,0.8,6,6,113.558250904083,114.558705806732,114.558705806732,115.424935817719,115.424935817719,115.441602945328,116.241607904434,116.61937379837,116.719451904297,116.824999809265,117.125002861023,267.814982166522,18.4882508640178,1183.80004882812,687.099975585938,0.377765893936157,9
space,downright,1920,1080,960,540,left,inter,inter,0.548,0.8,8,8,118.125389814377,119.125394821167,119.125394821167,119.675411939621,119.675411939621,119.692078828812,120.491655826569,120.724192857742,120.824275970459,120.941659927368,121.241714000702,288.56176799388,23.7613387202078,1199,701.700012207031,0.232537031173706,9
space,downright,1920,1080,960,540,left,short,inter,0.841,0.4,8,8,122.242160797119,123.24223279953,123.24223279953,124.075023889542,124.075023889542,124.091691970825,124.491698026657,124.93205499649,125.032130002975,125.14170384407,125.441757917404,297.173940953175,41.7048681727101,1196,720.599975585938,0.440356969833374,9
space,downright,1920,1080,960,540,left,long,short,0.967,1.6,6,6,126.442147016525,127.442153930664,127.442153930664,128.408407926559,128.408407926559,128.425067901611,130.02509188652,130.220986843109,130.32105588913,130.425092935562,130.725099802017,249.367727464837,19.8882629578421,1166.90002441406,679.200012207031,0.195894956588745,9
space,downright,1920,1080,960,540,left,long,short,0.996,1.6,6,6,131.725108861923,132.72553896904,132.72553896904,133.725126981735,133.725126981735,133.741796970367,135.341809988022,135.627852916718,135.727923870087,135.841867923737,136.141870975494,208.531349444569,2.72364030554603,1140.40002441406,644.599975585938,0.286042928695679,9
