blockType,targetLineLoc,lineSpecs_1,lineSpecs_2,lineSpecs_3,lineSpecs_4,flashLoc,timeIntervalType,distIntervalType,delay,timeInterval,distInterval,targetInterval,fixOn,fixOff,lineOn,lineOff,setOn,setOff,tarOn,saccadeOn,saccadeInRect,feedBackOn,feedBackOff,RT,blockNum
time,downleft,0,1080,960,540,right,inter,short,0.558,0.8,6,6,64.8109550476074,65.8105309009552,65.8105309009552,66.3605380058289,66.3605380058289,66.3771989345551,67.1772060394287,68.1709270477295,68.2709808349609,68.3772609233856,68.6776728630066,0.993721008300781,1
time,downleft,0,1080,960,540,right,long,long,0.674,1.6,12,12,69.6776719093323,70.6772480010986,70.6772480010986,71.3439190387726,71.3439190387726,71.3605818748474,72.9605979919434,74.3858890533447,74.4859459400177,74.5939538478851,74.8943948745728,1.42529106140137,1
time,downleft,0,1080,960,540,right,short,long,0.949,0.4,12,12,75.8943798542023,76.8944098949432,76.8944098949432,77.8439788818359,77.8439788818359,77.8606510162354,78.2606499195099,78.7226550579071,78.8227078914642,78.9273660182953,79.2273769378662,0.462005138397217,1
time,downleft,0,1080,960,540,right,long,inter,0.64,1.6,8,8,80.2277748584747,81.2277848720551,81.2277848720551,81.8606908321381,81.8606908321381,81.8773579597473,83.4773728847504,84.8963620662689,84.9964179992676,85.1107249259949,85.4107258319855,1.41898918151855,1
time,downleft,0,1080,960,540,right,inter,short,0.782,0.8,6,6,86.4111559391022,87.411162853241,87.411162853241,88.1940870285034,88.1940870285034,88.2107560634613,89.0107629299164,89.5622379779816,89.6622920036316,89.7774369716644,90.0774388313293,0.551475048065186,1
time,downleft,0,1080,960,540,right,short,long,0.842,0.4,12,12,91.0778789520264,92.077889919281,92.077889919281,92.9275238513947,92.9275238513947,92.9441349506378,93.3442568778992,93.6841340065002,93.7841880321503,93.8941440582275,94.194149017334,0.339877128601074,1
time,downleft,0,1080,960,540,right,short,inter,0.832,0.4,8,8,95.1945760250092,96.1945860385895,96.1945860385895,97.0275070667267,97.0275070667267,97.0441739559174,97.4441809654236,97.7501349449158,97.8501899242401,97.9608528614044,98.2608530521393,0.305953979492188,1
time,downleft,0,1080,960,540,right,inter,inter,0.917,0.8,8,8,99.2612888813019,100.261293888092,100.261293888092,101.177551984787,101.177551984787,101.194213867188,101.994220972061,102.801761865616,102.901823997498,103.010902881622,103.310907840729,0.807540893554688,1
time,downleft,0,1080,960,540,right,inter,short,0.912,0.8,6,6,104.311326026917,105.311342000961,105.311342000961,106.227599859238,106.227599859238,106.24426484108,107.044272899628,107.438808917999,107.538866996765,107.644276857376,107.944282054901,0.394536018371582,1
time,downleft,0,1080,960,540,right,long,long,0.967,1.6,12,12,108.944716930389,109.944736003876,109.944736003876,110.910981893539,110.910981893539,110.927649021149,112.527663946152,114.434561014175,114.534617900848,114.64480304718,114.944782972336,1.90689706802368,1
time,downleft,0,1080,960,540,right,inter,short,0.855,0.8,6,6,115.9447889328,116.9448158741,116.9448158741,117.794378042221,117.794378042221,117.811045885086,118.611053943634,119.163436889648,119.263491868973,119.377732038498,119.677732944489,0.552382946014404,1
time,downleft,0,1080,960,540,right,short,inter,1,0.4,8,8,120.678176879883,121.677751064301,121.677751064301,122.677762985229,122.677762985229,122.69442987442,123.094430923462,123.556125879288,123.65619301796,123.761108875275,124.061113834381,0.461694955825806,1
time,downleft,0,1080,960,540,right,inter,inter,0.876,0.8,8,8,125.061540842056,126.061548948288,126.061548948288,126.944473981857,126.944473981857,126.961142063141,127.761147975922,128.252008914948,128.352066040039,128.461154937744,128.761160850525,0.490860939025879,1
time,downleft,0,1080,960,540,right,short,inter,0.7,0.4,8,8,129.761589050293,130.761179924011,130.761179924011,131.461182832718,131.461182832718,131.477850914001,131.877853870392,132.206929922104,132.306983947754,132.411190986633,132.711196899414,0.329076051712036,1
time,downleft,0,1080,960,540,right,long,short,0.824,1.6,6,6,133.711637020111,134.711220026016,134.711220026016,135.527886867523,135.527886867523,135.544556856155,137.144572973251,138.499902009964,138.599956989288,138.711704015732,139.011687040329,1.35532903671265,1
time,downleft,0,1080,960,540,right,long,long,0.87,1.6,12,12,140.011703968048,141.011710882187,141.011710882187,141.877956867218,141.877956867218,141.894624948502,143.494688987732,144.581451892853,144.681511878967,144.79469203949,145.094693899155,1.08676290512085,1
time,downleft,0,1080,960,540,right,long,short,0.921,1.6,6,6,146.095082998276,147.095108032227,147.095108032227,148.011353969574,148.011353969574,148.0280148983,149.628036975861,151.221206903458,151.321265935898,151.428052902222,151.728502988815,1.59316992759705,1
time,downleft,0,1080,960,540,right,inter,long,0.908,0.8,12,12,152.728497982025,153.72807097435,153.72807097435,154.628085851669,154.628085851669,154.644747972488,155.444769859314,156.085090875626,156.18514585495,156.294766902924,156.59477186203,0.640321016311646,1
time,downleft,0,1080,960,540,right,short,short,0.889,0.4,6,6,157.595216035843,158.595237970352,158.595237970352,159.478134870529,159.478134870529,159.494796037674,159.894804000854,160.259001016617,160.359055042267,160.461472988129,160.761482954025,0.364197015762329,1
time,downleft,0,1080,960,540,right,long,short,0.82,1.6,6,6,161.761930942535,162.761497974396,162.761497974396,163.578172922134,163.578172922134,163.594842910767,165.194854021072,166.962772846222,167.062829971313,167.178647994995,167.478656053543,1.76791882514954,1
time,downleft,0,1080,960,540,right,inter,short,0.552,0.8,6,6,168.478657960892,169.478651046753,169.478651046753,170.028239011765,170.028239011765,170.044908046722,170.845033884048,171.357616901398,171.457672834396,171.561584949493,171.861587047577,0.512583017349243,1
time,downleft,0,1080,960,540,right,short,inter,0.843,0.4,8,8,172.862035989761,173.862025976181,173.862025976181,174.711668014526,174.711668014526,174.728332996368,175.1283390522,175.556429862976,175.656486034393,175.761667013168,176.061681032181,0.428090810775757,1
